Gene	fdr	slfc	significant	sig_up	sig_down
WASH7P	0.7953395843505859	0.07704994827508926	FALSE	FALSE	FALSE
ENSG00000241860	0.87034010887146	0.05815166980028152	FALSE	FALSE	FALSE
ENSG00000308579	0.054936733096838	0.5270116329193115	FALSE	FALSE	FALSE
ENSG00000310528	0.3045840859413147	0.327692449092865	FALSE	FALSE	FALSE
WASH9P	0.18452027440071103	0.28620487451553345	FALSE	FALSE	FALSE
ENSG00000292994	0.39057302474975586	0.2752620279788971	FALSE	FALSE	FALSE
ENSG00000290385	0.8386643528938293	-0.0775112509727478	FALSE	FALSE	FALSE
LINC00115	0.34000858664512634	0.20879052579402924	FALSE	FALSE	FALSE
LINC01409	0.9437075257301332	0.0230898093432188	FALSE	FALSE	FALSE
FAM87B	0.971161425113678	-0.01171610131859779	FALSE	FALSE	FALSE
LINC01128	0.02053893730044365	0.2602209746837616	FALSE	FALSE	FALSE
FAM41C	0.6157578825950623	0.05393433943390846	FALSE	FALSE	FALSE
ENSG00000272438	0.0909360498189926	-0.3169817626476288	FALSE	FALSE	FALSE
LINC02593	5.75481572013814e-5	0.676326334476471	FALSE	FALSE	FALSE
SAMD11	0.27443262934684753	-0.20357416570186615	FALSE	FALSE	FALSE
NOC2L	0.25333765149116516	-0.12169527262449265	FALSE	FALSE	FALSE
KLHL17	0.6194065809249878	0.10034198313951492	FALSE	FALSE	FALSE
PLEKHN1	0.614899218082428	0.1346399039030075	FALSE	FALSE	FALSE
PERM1	0.08256004005670547	0.3454122841358185	FALSE	FALSE	FALSE
ENSG00000272512	0.08046852052211761	0.4441983699798584	FALSE	FALSE	FALSE
HES4	0.03525905311107635	0.5328308939933777	FALSE	FALSE	FALSE
ENSG00000303623	0.7901749014854431	-0.04622148722410202	FALSE	FALSE	FALSE
ISG15	0.8949190974235535	0.02991797775030136	FALSE	FALSE	FALSE
AGRN	0.3462461829185486	0.08634399622678757	FALSE	FALSE	FALSE
ENSG00000242590	0.02195851132273674	0.2595329284667969	FALSE	FALSE	FALSE
ENSG00000291156	0.7005083560943604	-0.12367407977581024	FALSE	FALSE	FALSE
ENSG00000304119	0.1481437087059021	0.4073223769664765	FALSE	FALSE	FALSE
RNF223	0.2444923371076584	0.164888396859169	FALSE	FALSE	FALSE
C1orf159	0.962415874004364	0.00900546368211507	FALSE	FALSE	FALSE
TNFRSF18	0.7368406057357788	0.1124642938375473	FALSE	FALSE	FALSE
TNFRSF4	0.17179782688617706	0.37028804421424866	FALSE	FALSE	FALSE
ENSG00000304412	0.3815183639526367	0.28492581844329834	FALSE	FALSE	FALSE
SDF4	7.294953684322536e-5	0.396219938993454	FALSE	FALSE	FALSE
B3GALT6	0.9616528749465942	-0.00861253123730421	FALSE	FALSE	FALSE
C1QTNF12	0.5928926467895508	0.18742473423480988	FALSE	FALSE	FALSE
ENSG00000260179	0.30184969305992126	-0.2860160171985626	FALSE	FALSE	FALSE
UBE2J2	0.3547288179397583	-0.11429280787706377	FALSE	FALSE	FALSE
LINC01786	0.01624911092221737	0.5715380311012268	FALSE	FALSE	FALSE
SCNN1D	5.35352504812181e-4	0.6159411668777466	FALSE	FALSE	FALSE
ACAP3	0.00299666239880025	0.3233306109905243	FALSE	FALSE	FALSE
PUSL1	0.06260477751493454	-0.2680918276309967	FALSE	FALSE	FALSE
INTS11	0.915232479572296	0.01442691497504711	FALSE	FALSE	FALSE
ENSG00000240731	0.20680871605873108	0.3698357939720154	FALSE	FALSE	FALSE
CPTP	0.2552110254764557	0.17790131270885468	FALSE	FALSE	FALSE
TAS1R3	0.9316456317901612	-0.03430231660604477	FALSE	FALSE	FALSE
DVL1	0.75734710693359375	0.04452334716916084	FALSE	FALSE	FALSE
ENSG00000304860	0.679699182510376	0.1237052157521248	FALSE	FALSE	FALSE
MXRA8	0.13975200057029724	-0.17084266245365143	FALSE	FALSE	FALSE
