Gene	cluster
WASH7P	NA
ENSG00000241860	NA
ENSG00000308579	NA
ENSG00000310528	NA
WASH9P	NA
ENSG00000292994	NA
ENSG00000290385	NA
LINC00115	NA
LINC01409	NA
FAM87B	NA
LINC01128	cluster_8
FAM41C	NA
ENSG00000272438	NA
LINC02593	NA
SAMD11	NA
NOC2L	NA
KLHL17	NA
PLEKHN1	cluster_8
PERM1	NA
ENSG00000272512	cluster_4
HES4	NA
ENSG00000303623	NA
ISG15	NA
AGRN	NA
ENSG00000242590	NA
ENSG00000291156	NA
ENSG00000304119	NA
RNF223	NA
C1orf159	NA
TNFRSF18	NA
TNFRSF4	NA
ENSG00000304412	NA
SDF4	NA
B3GALT6	NA
C1QTNF12	NA
ENSG00000260179	NA
UBE2J2	NA
LINC01786	cluster_11
SCNN1D	cluster_11
ACAP3	NA
PUSL1	NA
INTS11	NA
ENSG00000240731	NA
CPTP	NA
TAS1R3	NA
DVL1	NA
ENSG00000304860	NA
MXRA8	NA
AURKAIP1	NA
CCNL2	NA
MRPL20-AS1	NA
MRPL20	NA
ENSG00000301639	NA
MRPL20-DT	NA
ANKRD65	cluster_13
ANKRD65-AS1	NA
TMEM88B	NA
LINC01770	cluster_13
VWA1	cluster_19
ATAD3C	NA
ATAD3B	NA
ENSG00000290916	NA
ATAD3A	NA
TMEM240	NA
SSU72	NA
SSU72-AS1	cluster_8
FNDC10	NA
ENSG00000286989	NA
ENSG00000272106	NA
MIB2	NA
MMP23B	NA
CDK11B	NA
ENSG00000272004	NA
SLC35E2B	NA
ENSG00000310190	NA
ENSG00000310238	NA
CDK11A	NA
ENSG00000268575	NA
ENSG00000293188	NA
ENSG00000290854	NA
NADK	NA
ENSG00000302550	NA
GNB1	NA
GNB1-DT	NA
ENSG00000306476	NA
CALML6	NA
TMEM52	NA
PRKCZ	NA
PRKCZ-AS1	NA
FAAP20	NA
ENSG00000304038	NA
SKI	NA
ENSG00000287356	cluster_11
MORN1	NA
ENSG00000292993	NA
ENSG00000272420	NA
RER1	NA
PEX10	NA
PLCH2	cluster_4
PANK4	NA
ENSG00000272449	NA
TNFRSF14-AS1	NA
TNFRSF14	cluster_4
ENSG00000228037	NA
PRXL2B	NA
MMEL1	NA
TTC34	NA
ENSG00000287828	NA
ARHGEF16	NA
MEGF6	NA
ENSG00000238260	cluster_8
TPRG1L	NA
WRAP73	NA
TP73	NA
GFOD3P	NA
SMIM1	cluster_19
LRRC47	NA
ENSG00000272153	NA
CEP104	NA
DFFB	NA
C1orf174	NA
LINC01134	NA
AJAP1	NA
NPHP4	NA
KCNAB2	NA
CHD5	cluster_4
ENSG00000285629	NA
RPL22	NA
RNF207-AS1	NA
RNF207	cluster_11
ICMT	NA
ICMT-DT	NA
GPR153	NA
ACOT7	cluster_8
ENSG00000271746	NA
HES2	cluster_4
ESPN	NA
TNFRSF25	NA
PLEKHG5	NA
NOL9	NA
ZBTB48	NA
KLHL21	NA
ENSG00000295286	NA
ENSG00000304810	NA
PHF13	NA
THAP3	NA
DNAJC11	NA
CAMTA1-DT	NA
CAMTA1	NA
VAMP3	NA
ENSG00000269925	NA
PER3	NA
TNFRSF9	NA
PARK7	NA
ENSG00000299004	NA
ENSG00000284747	NA
ERRFI1	NA
ERRFI1-DT	NA
LINC01714	NA
SLC45A1	NA
RERE	NA
ENO1	cluster_5
ENO1-AS1	NA
CA6	NA
SLC2A5	NA
GPR157	NA
MIR34AHG	NA
LNCTAM34A	NA
ENSG00000301983	cluster_11
ENSG00000301968	cluster_11
H6PD	NA
SPSB1	NA
ENSG00000284652	NA
LINC02606	NA
SLC25A33	NA
TMEM201	NA
PIK3CD	NA
PIK3CD-AS2	cluster_19
CLSTN1	NA
CTNNBIP1	NA
ENSG00000228150	NA
LZIC	NA
NMNAT1	NA
ENSG00000241326	NA
RBP7	NA
UBE4B	NA
KIF1B	NA
ENSG00000284642	NA
PGD	NA
CENPS-CORT	NA
CENPS	NA
CORT	NA
DFFA	NA
PEX14	NA
CASZ1	NA
ENSG00000272078	NA
C1orf127	NA
TARDBP	NA
MASP2	NA
SRM	cluster_5
EXOSC10-AS1	NA
EXOSC10	NA
MTOR	NA
UBIAD1	NA
DISP3	NA
FBXO2	cluster_4
FBXO44	NA
MAD2L2	NA
FBXO6	NA
DRAXIN	NA
AGTRAP	NA
C1orf167	NA
MTHFR	NA
CLCN6	NA
NPPB	NA
ENSG00000285646	NA
KIAA2013	NA
PLOD1	NA
MFN2	NA
MIIP	NA
TNFRSF8	NA
TNFRSF1B	cluster_15
VPS13D	NA
LINC02766	NA
DHRS3	cluster_13
ENSG00000288927	NA
PDPN	cluster_13
PRDM2	NA
ENSG00000289380	NA
KAZN	NA
TMEM51-AS1	cluster_4
TMEM51	NA
FHAD1	NA
EFHD2-AS1	NA
EFHD2	NA
CTRC	NA
CASP9	NA
DNAJC16	NA
AGMAT	NA
ENSG00000237301	NA
DDI2	NA
RSC1A1	NA
PLEKHM2	NA
SLC25A34	NA
ENSG00000297277	NA
FBLIM1	NA
SPEN-AS1	NA
UQCRHL	NA
SPEN	NA
ZBTB17	NA
HSPB7	NA
CLCNKA	NA
FAM131C	NA
EPHA2	NA
EPHA2-AS1	NA
ARHGEF19	cluster_13
ENSG00000291077	NA
ENSG00000288398	NA
CPLANE2	NA
ENSG00000293791	NA
FBXO42	NA
SZRD1	NA
SPATA21	NA
NECAP2	NA
CROCCP3	NA
LINC01772	cluster_8
ENSG00000306228	NA
ENSG00000224174	NA
LINC01783	NA
NBPF1	NA
ENSG00000291072	NA
ENSG00000293920	NA
ENSG00000293901	NA
ENSG00000290849	NA
CROCC	NA
ENSG00000290851	NA
LINC03126	NA
ENSG00000238142	NA
MFAP2	cluster_13
ENSG00000226526	NA
ATP13A2	NA
ENSG00000288636	cluster_8
SDHB	NA
PADI2	NA
LINC02783	NA
PADI1	cluster_4
PADI3	NA
RCC2	NA
ENSG00000290096	NA
ENSG00000307703	NA
ARHGEF10L	NA
ALDH4A1	NA
IFFO2	NA
ENSG00000272084	NA
UBR4	NA
EMC1-AS1	NA
EMC1	NA
ENSG00000309633	NA
MRTO4	cluster_5
AKR7L	NA
AKR7A3	NA
AKR7A2	NA
SLC66A1	NA
CAPZB	NA
MICOS10	NA
NBL1	cluster_13
MICOS10-NBL1	NA
HTR6	NA
TMCO4	NA
OTUD3	NA
PLA2G5	NA
UBXN10	NA
LINC01141	NA
CAMK2N1	NA
ENSG00000289402	NA
MUL1	NA
FAM43B	NA
CDA	NA
PINK1	NA
PINK1-AS	NA
DDOST	NA
KIF17	cluster_8
SH2D5	cluster_8
HP1BP3	NA
EIF4G3	NA
ENSG00000287192	NA
ECE1	NA
ECE1-AS1	NA
NBPF3	NA
ALPL	cluster_19
ENSG00000289715	cluster_19
RAP1GAP	cluster_4
USP48	NA
LDLRAD2	NA
HSPG2	NA
ENSG00000285959	NA
LINC00339	NA
ENSG00000289694	NA
CDC42-AS1	NA
CDC42	NA
WNT4	NA
ENSG00000294752	NA
ZBTB40	NA
ZBTB40-IT1	NA
EPHB2	NA
KDM1A	NA
ENSG00000240553	NA
LUZP1	NA
ENSG00000293565	NA
ENSG00000289014	NA
HTR1D	cluster_4
LINC01355	NA
HNRNPR	NA
ZNF436	NA
ZNF436-AS1	NA
ENSG00000271420	NA
TCEA3	NA
ASAP3	NA
E2F2	cluster_15
ENSG00000235052	NA
ID3	cluster_8
ENSG00000285802	NA
RPL11	NA
ELOA-AS1	NA
ELOA	NA
PITHD1	NA
LYPLA2	NA
GALE	NA
HMGCL	NA
FUCA1	cluster_4
PNRC2	NA
SRSF10	NA
MYOM3	NA
IFNLR1	NA
GRHL3	NA
STPG1	cluster_8
NIPAL3	cluster_8
ENSG00000288982	NA
RCAN3	NA
SRRM1	NA
ENSG00000307307	NA
CLIC4	NA
RUNX3	NA
SYF2	NA
ENSG00000284657	NA
ENSG00000299599	NA
RSRP1	NA
ENSG00000272432	NA
ENSG00000309241	NA
TMEM50A	NA
RHCE	cluster_8
MACO1	NA
LDLRAP1	NA
MAN1C1	NA
SELENON	NA
ENSG00000255054	NA
ENSG00000228172	NA
MTFR1L	NA
AUNIP	NA
ENSG00000236528	NA
PAQR7	NA
STMN1	cluster_15
PAFAH2	NA
ENSG00000310101	NA
EXTL1	NA
TRIM63	NA
PDIK1L	NA
ZNF593OS	NA
ZNF593	NA
CNKSR1	NA
ZPLD2P	NA
CEP85	NA
SH3BGRL3	cluster_5
UBXN11	NA
CRYBG2	NA
DHDDS-AS1	NA
DHDDS	NA
HMGN2	NA
RPS6KA1	NA
ENSG00000260063	NA
ARID1A	NA
PIGV	NA
ZDHHC18	NA
SFN	cluster_13
GPN2	NA
ENSG00000289554	NA
GPATCH3	NA
NUDC	NA
NR0B2	NA
KDF1	NA
ENSG00000297103	NA
TRNP1	NA
TENT5B	NA
SLC9A1	NA
WDTC1	NA
TMEM222	NA
SYTL1	cluster_13
MAP3K6	NA
GPR3	cluster_8
WASF2	NA
ENSG00000237429	NA
AHDC1	NA
ENSG00000310432	NA
LINC02574	NA
IFI6	NA
FAM76A	NA
STX12	NA
ENSG00000270031	NA
PPP1R8	NA
THEMIS2	cluster_19
RPA2	NA
XKR8	NA
EYA3	NA
ENSG00000289576	NA
PTAFR	NA
DNAJC8	NA
ENSG00000290123	NA
